"aircraft_type","altitude","callsign","datetime","destination","heading","id","is_on_ground","latitude","longitude","mode_s_address","origin","registration","source","source_data_type","source_flight_id","source_update_type","speed","squawk","timestamp","vertical_speed"
"B752",39000,,"2017-04-16T00:20:14",,,1004787462,false,31.6001,-100.607,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302014,0
"B752",39000,"z.NO-A91616","2017-04-16T00:20:55",,0,1004804600,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492302055,0
"B752",39000,,"2017-04-16T00:21:35",,,1004810501,false,31.5408,-100.317,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302095,0
"B752",39000,"z.NO-A91616","2017-04-16T00:21:56",,0,1004816018,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492302116,0
"B752",39000,,"2017-04-16T00:22:54",,,1004826592,false,31.4793,-99.9766,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302174,0
"B752",39000,,"2017-04-16T00:23:12",,,1004821962,false,31.5119,-100.136,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302192,0
"B752",39000,"z.NO-A91616","2017-04-16T00:23:55",,0,1004832252,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492302235,0
"B752",39000,,"2017-04-16T00:23:56",,,1004837456,false,31.4535,-99.8267,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302236,0
"B752",39025,"z.NO-A91616","2017-04-16T00:24:54",,0,1004843592,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492302294,0
"B752",39000,,"2017-04-16T00:25:37",,,1004848936,false,31.4019,-99.6342,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302337,0
"B752",39000,"z.NO-A91616","2017-04-16T00:25:53",,0,1004855097,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492302353,0
"B752",39000,,"2017-04-16T00:26:36",,,1004860337,false,31.3901,-99.493,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302396,0
"B752",39000,"z.NO-A91616","2017-04-16T00:26:54",,0,1004866601,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492302414,0
"B752",39025,,"2017-04-16T00:27:00",,,1004872595,false,31.3422,-99.311,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302420,0
"B752",39000,"z.NO-A91616","2017-04-16T00:27:56",,0,1004878087,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492302476,0
"B752",39000,"z.NO-A91616","2017-04-16T00:28:56",,0,1004889593,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492302536,0
"B752",39000,,"2017-04-16T00:29:01",,,1004895581,false,31.2838,-99.0054,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302541,0
"B752",39000,,"2017-04-16T00:29:13",,,1004884127,false,31.3146,-99.1646,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302553,0
"B752",39000,,"2017-04-16T00:29:53",,,1004900028,false,31.2507,-98.8583,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302593,0
"B752",39000,"z.NO-A91616","2017-04-16T00:30:54",,0,1004905739,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492302654,0
"B752",39000,,"2017-04-16T00:31:01",,,1004911527,false,31.2184,-98.6829,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302661,0
"B752",39000,,"2017-04-16T00:32:00",,,1004916062,false,31.1874,-98.526,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302720,0
"B752",39000,"z.NO-A91616","2017-04-16T00:32:53",,0,1004921707,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492302773,0
"B752",39000,,"2017-04-16T00:32:59",,,1004927643,false,31.155,-98.3651,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302779,0
"B752",39000,,"2017-04-16T00:33:52",,,1004938380,false,31.1266,-98.2245,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302832,0
"B752",39000,"z.NO-A91616","2017-04-16T00:33:54",,0,1004932977,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492302834,0
"B752",39000,,"2017-04-16T00:34:56",,,1004943444,false,31.0907,-98.0501,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302896,0
"B752",39000,"z.NO-A91616","2017-04-16T00:35:52",,0,1004949062,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492302952,0
"B752",39000,,"2017-04-16T00:35:59",,,1004954847,false,31.0552,-97.8767,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492302959,0
"B752",39000,"z.NO-A91616","2017-04-16T00:36:55",,0,1004960326,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492303015,0
"B752",39025,,"2017-04-16T00:37:55",,,1004970882,false,30.991,-97.5736,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303075,0
"B752",39000,,"2017-04-16T00:38:11",,,1004966413,false,31.0254,-97.7323,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303091,0
"B752",39000,"z.NO-A91616","2017-04-16T00:38:54",,0,1004976445,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492303134,0
"B752",39000,"z.NO-A91616","2017-04-16T00:39:54",,0,1004987697,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492303194,0
"B752",39000,,"2017-04-16T00:40:01",,,1004993769,false,30.9223,-97.2457,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303201,0
"B752",39000,,"2017-04-16T00:40:06",,,1004982315,false,30.9589,-97.4213,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303206,0
"B752",39000,,"2017-04-16T00:40:59",,,1004998134,false,30.8869,-97.0831,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303259,0
"B752",39000,"z.NO-A91616","2017-04-16T00:41:55",,0,1005003740,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492303315,0
"B752",39000,"z.NO-A91616","2017-04-16T00:42:54",,0,1005014924,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492303374,0
"B752",39000,,"2017-04-16T00:42:58",,,1005020370,false,30.8182,-96.765,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303378,0
"B752",39000,,"2017-04-16T00:43:14",,,1005009608,false,30.8516,-96.9175,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303394,0
"B752",39000,,"2017-04-16T00:44:00",,,1005025345,false,30.7814,-96.5972,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303440,0
"B752",39000,"z.NO-A91616","2017-04-16T00:44:53",,0,1005030884,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492303493,0
"B752",39025,,"2017-04-16T00:45:38",,,1005036824,false,30.7476,-96.4423,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303538,0
"B752",39000,"z.NO-A91616","2017-04-16T00:45:56",,0,1005042070,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492303556,0
"B752",39000,"z.NO-A91616","2017-04-16T00:46:54",,0,1005053415,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492303614,0
"B752",39025,,"2017-04-16T00:46:56",,,1005059482,false,30.6819,-96.1473,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303616,0
"B752",39000,,"2017-04-16T00:47:10",,,1005048147,false,30.7156,-96.2982,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303630,0
"B752",39000,,"2017-04-16T00:48:30",,,1005063961,false,30.6478,-95.992,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303710,0
"B752",39000,"z.NO-A91616","2017-04-16T00:48:53",,0,1005069407,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492303733,0
"B752",39000,,"2017-04-16T00:49:00",,,1005074784,false,30.6096,-95.8215,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303740,0
"B752",39000,,"2017-04-16T00:49:53",,,1005086622,false,30.5767,-95.6774,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303793,0
"B752",39000,"z.NO-A91616","2017-04-16T00:49:55",,0,1005080645,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492303795,0
"B752",39000,"z.NO-A91616","2017-04-16T00:50:56",,0,1005091979,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492303856,0
"B752",39000,,"2017-04-16T00:50:59",,,1005097982,false,30.5365,-95.5052,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303859,0
"B752",39000,,"2017-04-16T00:51:58",,,1005102402,false,30.5015,-95.3485,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303918,0
"B752",39000,"z.NO-A91616","2017-04-16T00:52:49",,0,1005107848,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492303969,0
"B752",39025,,"2017-04-16T00:52:57",,,1005113141,false,30.4654,-95.1927,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492303977,0
"B752",39000,"z.NO-A91616","2017-04-16T00:53:55",,0,1005118978,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304035,0
"B752",39000,,"2017-04-16T00:53:58",,,1005125145,false,30.4265,-95.0235,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304038,0
"B752",39000,"z.NO-A91616","2017-04-16T00:54:53",,0,1005130256,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304093,0
"B752",39000,"z.NO-A91616","2017-04-16T00:55:56",,0,1005141576,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304156,0
"B752",39000,,"2017-04-16T00:55:57",,,1005147765,false,30.3534,-94.7117,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304157,0
"B752",39000,,"2017-04-16T00:56:10",,,1005136456,false,30.393,-94.8806,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304170,0
"B752",39000,"z.NO-A91616","2017-04-16T00:56:55",,0,1005152946,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304215,0
"B752",39000,,"2017-04-16T00:56:56",,,1005158552,false,30.3182,-94.5631,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304216,0
"B752",39000,"z.NO-A91616","2017-04-16T00:57:55",,0,1005164280,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304275,0
"B752",39000,,"2017-04-16T00:58:46",,,1005181737,false,30.2478,-94.2695,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304326,0
"B752",39000,"z.NO-A91616","2017-04-16T00:58:56",,0,1005175586,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304336,0
"B752",39000,,"2017-04-16T00:59:11",,,1005170474,false,30.2765,-94.3926,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304351,0
"B752",39000,,"2017-04-16T00:59:47",,,1005192978,false,30.2096,-94.1106,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304387,0
"B752",39000,"z.NO-A91616","2017-04-16T00:59:48",,0,1005186849,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304388,0
"B752",39000,"z.NO-A91616","2017-04-16T01:00:34",,0,1005197999,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304434,0
"B752",39025,,"2017-04-16T01:00:37",,,1005204128,false,30.1775,-93.9768,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304437,0
"B752",39000,"z.NO-A91616","2017-04-16T01:01:50",,0,1005209357,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304510,0
"B752",39000,"z.NO-A91616","2017-04-16T01:02:52",,0,1005220640,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304572,0
"B752",39000,,"2017-04-16T01:02:58",,,1005214976,false,30.1331,-93.7991,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304578,0
"B752",39000,,"2017-04-16T01:03:01",,,1005226769,false,30.0848,-93.596,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304581,0
"B752",39000,,"2017-04-16T01:03:46",,,1005237999,false,30.0593,-93.4883,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304626,0
"B752",39000,"z.NO-A91616","2017-04-16T01:03:53",,0,1005231941,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304633,0
"B752",39000,"z.NO-A91616","2017-04-16T01:04:49",,0,1005243282,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304689,0
"B752",39000,,"2017-04-16T01:04:57",,,1005249414,false,30.0125,-93.3002,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304697,0
"B752",39000,,"2017-04-16T01:06:01",,,1005253759,false,29.9709,-93.1326,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304761,0
"B752",39000,,"2017-04-16T01:06:47",,,1005265032,false,29.9396,-93.0112,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304807,0
"B752",39000,"z.NO-A91616","2017-04-16T01:06:48",,0,1005259041,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304808,0
"B752",39000,"z.NO-A91616","2017-04-16T01:07:53",,0,1005270160,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304873,0
"B752",39000,,"2017-04-16T01:07:55",,,1005276463,false,29.8959,-92.831,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304875,0
"B752",39000,,"2017-04-16T01:09:01",,,1005281218,false,29.855,-92.6675,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304941,0
"B752",39000,,"2017-04-16T01:09:31",,,1005309084,false,29.8326,-92.5854,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304971,0
"B752",39025,,"2017-04-16T01:09:33",,,1005320582,false,29.8326,-92.5854,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304973,0
"B752",39000,,"2017-04-16T01:09:33",,,1005343418,false,29.8326,-92.5854,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492304973,0
"B752",39000,"z.NO-A91616","2017-04-16T01:09:48",,0,1005286488,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492304988,0
"B752",39000,,"2017-04-16T01:10:11",,,1005292887,false,29.8326,-92.5854,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492305011,0
"B752",39025,,"2017-04-16T01:10:11",,,1005332071,false,29.8326,-92.5854,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492305011,0
"B752",39000,,"2017-04-16T01:10:47",,,1005297554,false,29.8326,-92.5854,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492305047,0
"B752",39000,"z.NO-A91616","2017-04-16T01:11:53",,0,1005302758,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492305113,0
"B752",39025,"z.NO-A91616","2017-04-16T01:12:57",,0,1005314150,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492305177,0
"B752",39000,"z.NO-A91616","2017-04-16T01:13:55",,0,1005325594,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492305235,0
"B752",39000,"z.NO-A91616","2017-04-16T01:14:54",,0,1005337084,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492305294,0
"B752",39000,"z.NO-A91616","2017-04-16T01:15:47",,0,1005348382,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492305347,0
"B752",39000,"z.NO-A91616","2017-04-16T01:16:55",,0,1005359806,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492305415,0
"B752",39000,"z.NO-A91616","2017-04-16T01:18:53",,0,1005375876,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492305533,0
"B752",39000,"z.NO-A91616","2017-04-16T01:19:52",,0,1005387093,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492305592,0
"B752",39000,"z.NO-A91616","2017-04-16T01:21:49",,0,1005403079,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492305709,0
"B752",39000,"z.NO-A91616","2017-04-16T01:22:52",,0,1005414181,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492305772,0
"B752",39000,"z.NO-A91616","2017-04-16T01:25:06",,0,1005438821,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492305906,0
"B752",39000,"z.NO-A91616","2017-04-16T01:29:45",,0,1005467190,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492306185,0
"B752",39000,"z.NO-A91616","2017-04-16T01:29:45",,0,1005477519,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492306185,0
"B752",39000,"z.NO-A91616","2017-04-16T01:34:52",,0,1005493064,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492306492,0
"B752",39000,"z.NO-A91616","2017-04-16T01:35:48",,0,1005503671,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492306548,0
"B752",39000,"z.NO-A91616","2017-04-16T01:36:10",,0,1005514333,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492306570,0
"B752",39000,"z.NO-A91616","2017-04-16T01:36:10",,0,1005525180,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492306570,0
"B752",39003,,"2017-04-16T01:38:02",,,1005531514,false,28.6633,-88.2072,"A91616",,"N685DA","adsbexchange","2","11081238",,627,"0173",1492306682,-17
"B752",39000,,"2017-04-16T01:38:44",,,1005535742,false,28.6523,-88.1089,"A91616",,"N685DA","adsbexchange","2","11081238",,483,"0173",1492306724,25
"B752",39000,"z.NO-A91616","2017-04-16T01:38:50",,0,1005553321,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492306730,0
"B752",39000,"z.NO-A91616","2017-04-16T01:38:50",,0,1005563348,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492306730,0
"B752",39000,,"2017-04-16T01:40:32",,,1005540119,false,28.6275,-87.9485,"A91616",,"N685DA","adsbexchange","2","11081238",,471,"0173",1492306832,3
"B752",39000,,"2017-04-16T01:42:08",,,1005544414,false,28.582,-87.7932,"A91616",,"N685DA","adsbexchange","2","11081238",,539,"0173",1492306928,17
"B752",39003,,"2017-04-16T01:42:15",,,1005548602,false,28.5608,-87.6891,"A91616",,"N685DA","adsbexchange","2","11081238",,497,"0173",1492306935,29
"B752",39000,,"2017-04-16T01:42:34",,,1005559010,false,28.5298,-87.5306,"A91616",,"N685DA","adsbexchange","2","11081238",,494,"0520",1492306954,0
"B752",39000,,"2017-04-16T01:45:06",,,1005569519,false,28.4928,-87.3395,"A91616",,"N685DA","adsbexchange","2","11081238",,503,"1367",1492307106,25
"B752",39000,,"2017-04-16T01:45:31",,,1005573785,false,28.4549,-87.1735,"A91616",,"N685DA","adsbexchange","2","11081238",,501,"1367",1492307131,38
"B752",39000,"z.NO-A91616","2017-04-16T01:45:46",,0,1005578532,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492307146,0
"B752",39000,,"2017-04-16T01:46:35",,,1005584414,false,28.4209,-87.0115,"A91616",,"N685DA","adsbexchange","2","11081238",,502,"1367",1492307195,49
"B752",39000,"z.NO-A91616","2017-04-16T01:46:53",,0,1005589205,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492307213,0
"B752",39000,,"2017-04-16T01:47:36",,,1005599539,false,28.3706,-86.7618,"A91616",,"N685DA","adsbexchange","2","11081238",,500,"1367",1492307256,29
"B752",39005,,"2017-04-16T01:47:39",,,1005595156,false,28.3877,-86.8435,"A91616",,"N685DA","adsbexchange","2","11081238",,502,"1367",1492307259,32
"B752",39000,"z.NO-A91616","2017-04-16T01:48:56",,0,1005604400,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492307336,0
"B752",39000,"z.NO-A91616","2017-04-16T01:49:50",,0,1005614994,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492307390,0
"B752",39000,,"2017-04-16T01:50:02",,,1005620890,false,28.2939,-86.3888,"A91616",,"N685DA","adsbexchange","2","11081238",,502,"1367",1492307402,10
"B752",39025,,"2017-04-16T01:50:09",,,1005610256,false,28.3281,-86.5479,"A91616",,"N685DA","adsbexchange","2","11081238",,496,"1367",1492307409,28
"B752",39000,,"2017-04-16T01:50:55",,,1005625092,false,28.2666,-86.2622,"A91616",,"N685DA","adsbexchange","2","11081238",,499,"1367",1492307455,28
"B752",39000,,"2017-04-16T01:51:36",,,1005635427,false,28.2414,-86.146,"A91616",,"N685DA","adsbexchange","2","11081238",,497,"1367",1492307496,0
"B752",39000,"z.NO-A91616","2017-04-16T01:51:52",,0,1005629860,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492307512,0
"B752",39000,"z.NO-A91616","2017-04-16T01:52:48",,0,1005640200,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492307568,0
"B752",38975,,"2017-04-16T01:53:00",,,1005646028,false,28.1946,-85.9357,"A91616",,"N685DA","adsbexchange","2","11081238",,498,"1367",1492307580,38
"B752",37900,,"2017-04-16T01:53:55",,,1005650269,false,28.1669,-85.8134,"A91616",,"N685DA","adsbexchange","2","11081238",,501,"1367",1492307635,-664
"B752",37125,"z.NO-A91616","2017-04-16T01:54:47",,0,1005655091,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492307687,0
"B752",36900,,"2017-04-16T01:55:35",,,1005660854,false,28.1239,-85.6282,"A91616",,"N685DA","adsbexchange","2","11081238",,502,"1367",1492307735,-945
"B752",35475,"z.NO-A91616","2017-04-16T01:56:49",,0,1005669822,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492307809,0
"B752",36126,,"2017-04-16T01:57:14",,,1005665028,false,28.0885,-85.4706,"A91616",,"N685DA","adsbexchange","2","11081238",,501,"1367",1492307834,-859
"B752",35075,,"2017-04-16T01:57:37",,,1005675495,false,28.0555,-85.3174,"A91616",,"N685DA","adsbexchange","2","11081238",,506,"1367",1492307857,-807
"B752",35025,"z.NO-A91616","2017-04-16T01:58:53",,0,1005684474,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492307933,0
"B752",35000,,"2017-04-16T01:59:06",,,1005679660,false,28.0257,-85.1851,"A91616",,"N685DA","adsbexchange","2","11081238",,509,"1367",1492307946,-117
"B752",35000,"z.NO-A91616","2017-04-16T01:59:50",,0,1005694794,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492307990,0
"B752",35000,,"2017-04-16T02:00:14",,,1005690095,false,27.987,-85.0142,"A91616",,"N685DA","adsbexchange","2","11081238",,509,"1367",1492308014,71
"B752",35007,,"2017-04-16T02:01:12",,,1005700585,false,27.9529,-84.8647,"A91616",,"N685DA","adsbexchange","2","11081238",,509,"1367",1492308072,39
"B752",35000,,"2017-04-16T02:01:31",,,1005704859,false,27.9282,-84.7163,"A91616",,"N685DA","adsbexchange","2","11081238",,493,"1367",1492308091,42
"B752",35025,"z.NO-A91616","2017-04-16T02:01:48",,0,1005709628,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492308108,0
"B752",35000,,"2017-04-16T02:02:38",,,1005715262,false,27.9238,-84.5426,"A91616",,"N685DA","adsbexchange","2","11081238",,484,"1367",1492308158,40
"B752",35000,,"2017-04-16T02:02:51",,,1005719539,false,27.922,-84.413,"A91616",,"N685DA","adsbexchange","2","11081238",,487,"1367",1492308171,38
"B752",35000,,"2017-04-16T02:03:29",,,1005730065,false,27.922,-84.413,"A91616",,"N685DA","adsbexchange","2","11081238",,487,"1367",1492308209,38
"B752",35000,"z.NO-A91616","2017-04-16T02:03:53",,0,1005724314,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492308233,0
"B752",35000,"z.NO-A91616","2017-04-16T02:05:54",,0,1005739112,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492308354,0
"B752",35000,,"2017-04-16T02:06:00",,,1005744862,false,27.9004,-83.9187,"A91616",,"N685DA","adsbexchange","2","11081238",,504,"1367",1492308360,36
"B752",34250,"z.NO-A91616","2017-04-16T02:07:55",,0,1005753916,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492308475,0
"B752",32750,,"2017-04-16T02:08:06",,,1005763898,false,27.8846,-83.5953,"A91616",,"N685DA","adsbexchange","2","11081238",,490,"1367",1492308486,-845
"B752",34875,,"2017-04-16T02:08:12",,,1005749168,false,27.893,-83.7615,"A91616",,"N685DA","adsbexchange","2","11081238",,502,"1367",1492308492,35
